Categoria,Identificador,Nombre,Latitud,Longitud,Domicilio,CD ORIGEN,Turnos,RUTA,FORMATO,DIAS SUGERIDO,VIAJES,TRANSPORTE
AMBA,118,118 - MERCADO - TT,-34.591663,"-58,3902955",Vicente López 1676,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Market,MJS,,
AMBA,5,5 - VELEZ SARSFIELD - TT,-34.63346,"-58,5225016",Av. Alvarez Jonte 6383,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Hiper,LX,,
AMBA,219,219 - CABALLITO,-34.611046,"-58,4598438",Av. Donato Alvarez 1351,Munro,primera_ventana,Zona_44_BSAS_Capital_44,Hiper,LV,,
AMBA,214,214 - VILLA DEVOTO,-34.610844,"-58,5162735",José P. Varela 4750,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Hiper,LXV,,
AMBA,206,206 - Barrio Norte Beruti,-34.590338,"-58,4051402",Beruti 2951,Munro,primera_ventana,Zona_08_BSAS_Capital_14,Market,MJS,,
AMBA,6,6 - SALGUERO,-34.574924,"-58,4043503",Salguero 3212,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Hiper,MJ,,
AMBA,26,26 - WARNES,-34.595835,"-58,4728877",Av. Warnes 2707,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Hiper,LV,,
AMBA,271,271 - Nuñez,-34.553508,"-58,453027",Monroe 1655,Munro,primera_ventana,Zona_05_BSAS_Capital_5,Market,XV,,
AMBA,220,220 - VILLA URQUIZA,-34.577089,"-58,4950197",Av. Franklin Roosevelt 5749,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Hiper,LX,,
AMBA,30,30 - MATADEROS,-34.663332,"-58,5142082",Av. Gral. Paz 12950,Munro,primera_ventana,Zona_08_BSAS_Capital_8,Hiper,LV,,
AMBA,297,297 - Gral. Rodriguez,-34.611277,"-58,941232",Boulevard Bernardo De Irigoyen 1500,Munro,primera_ventana,Zona_02_BSAS_GBA_Oeste_1,Hiper,MJS,,
AMBA,234,234 - DON TORCUATO,-34.491124,"-58,6280258",Av. M. A. Alvear 1960,Munro,primera_ventana,Zona_01_BSAS_GBA_Norte,Hiper,MS,,
AMBA,239,239 - GRAL. PACHECO,-34.461631,"-58,6299348",Boulogne sur Mer 301,Munro,primera_ventana,Zona_01_BSAS_GBA_Norte,Hiper,MS,,
AMBA,183,183 - Maschwitz,-34.3958,"-58,7372553",Ruta 9 Panamericana y Moreno,Munro,primera_ventana,Zona_01_BSAS_GBA_Norte,Hiper,MJ,,
AMBA,187,187 - ESCOBAR,-34.344324,"-58,7896496",Gelves 530,Munro,primera_ventana,Zona_07_BSAS_Norte,Maxi,MJ,,
AMBA,62,62 - PILAR II,-34.448316,"-58,9167302",Colectora Panamericana esq Champagnat,E.Echeverria,primera_ventana,Zona_01_BSAS_GBA_Norte,Market,LXV,,
