sucursal,lat,lon
118 - MERCADO - TT,-34.591663,-58.3902955
5 - VELEZ SARSFIELD - TT,-34.63346,-58.5225016
219 - CABALLITO,-34.611046,-58.4598438
214 - VILLA DEVOTO,-34.610844,-58.5162735
206 - Barrio Norte Beruti,-34.590338,-58.4051402
6 - SALGUERO,-34.574924,-58.4043503
26 - WARNES,-34.595835,-58.4728877
271 - Nuñez,-34.553508,-58.453027
220 - VILLA URQUIZA,-34.577089,-58.4950197
30 - MATADEROS,-34.663332,-58.5142082
297 - Gral. Rodriguez,-34.611277,-58.941232
234 - DON TORCUATO,-34.491124,-58.6280258
239 - GRAL. PACHECO,-34.461631,-58.6299348
183 - Maschwitz,-34.3958,-58.7372553
187 - ESCOBAR,-34.344324,-58.7896496
62 - PILAR II,-34.448316,-58.9167302
28 - PILAR,-34.456704,-58.8932848
2 - VICENTE LOPEZ,-34.531989,-58.4663844
226 - Martinez Edison,-34.492321,-58.4996331
204 - Olivos - ugarte,-34.516356,-58.4945031
211 - Martinez,-34.48774,-58.5059202
216 - Vicente Lopez,-34.529585,-58.4815282
272 - SAN FERNANDO,-34.441743,-58.5535348
25 - SAN FERNANDO,-34.454554,-58.5765803
221 - Tigre,-34.432965,-58.5655296
51 - Tigre Nordelta,-34.404723,-58.6211157
15 - SAN MARTIN,-34.585689,-58.519683
278 - Marquez,-34.517462,-58.5702717
11 - SAN MIGUEL,-34.529125,-58.7012816
705 - MAXI-J.C.PAZ,-34.529496,-58.7725425
47 - Martin Coronado,-34.586623,-58.5926516
205 - Palomar,-34.603223,-58.5920405
218 - Hurlingham,-34.591593,-58.6360087
10 - MORON,-34.621285,-58.6372733
294 - Ituzaingo 2,-34.666014,-58.6627865
36 - Ituzaingo,-34.647928,-58.6888293
42 - Merlo,-34.678411,-58.7287152
21 - MORENO,-34.630877,-58.7629187
212 - Malaver,-34.557564,-58.5509813
703 - MAXI- MORENO,-34.590188,-58.7504652
12 - SAN JUSTO,-34.665273,-58.5969114
701 - MAXI LAFERRERE,-34.753963,-58.612318
231 - LOMAS,-34.769546,-58.4104979
52 - BANFIELD,-34.749051,-58.4113482
40 - Temperley,-34.763723,-58.3642829
706 - MAXI-LOMAS,-34.737769,-58.4350991
16 - MONTE GRANDE,-34.782351,-58.4600598
23 - ADROGUE,-34.812288,-58.4020436
702 - MAXI CLAYPOLE,-34.822285,-58.3663702
56 - GLEW,-34.883344,-58.3884716
20 - AVELLANEDA,-34.659206,-58.3757335
227 - BERNAL,-34.714406,-58.2979846
7 - QUILMES,-34.734118,-58.2773101
704 - MAXI EZPELETA,-34.747881,-58.2237625
49 - Fcio. Varela,-34.779152,-58.2775676
8 - LA PLATA,-34.893499,-57.997427
41 - ROSARIO VILLAGE,-32.933835,-60.7022631
